	match_id	time	type	unit	key	slot	player_slot
0	5981286393	68	CHAT_MESSAGE_COURIER_LOST				
1	5981286393	266	CHAT_MESSAGE_FIRSTBLOOD		8	1.0	1.0
2	5981286393	528	building_kill	npc_dota_hero_leshrac	npc_dota_badguys_tower1_mid	1.0	1.0
3	5981286393	691	building_kill	npc_dota_hero_life_stealer	npc_dota_badguys_tower1_top	0.0	0.0
4	5981286393	711	building_kill	npc_dota_creep_badguys_ranged	npc_dota_goodguys_tower1_bot		
5	5981286393	1070	CHAT_MESSAGE_ROSHAN_KILL				
6	5981286393	1071	CHAT_MESSAGE_AEGIS			1.0	1.0
7	5981286393	1161	building_kill	npc_dota_hero_mars	npc_dota_badguys_tower2_top	2.0	2.0
8	5981286393	1377	building_kill	npc_dota_hero_life_stealer	npc_dota_badguys_tower2_mid	0.0	0.0
9	5981286393	1401	building_kill	npc_dota_creep_goodguys_melee	npc_dota_badguys_tower1_bot		
10	5981286393	1529	building_kill	npc_dota_hero_life_stealer	npc_dota_badguys_tower2_bot	0.0	0.0
11	5981286393	1554	building_kill	npc_dota_hero_life_stealer	npc_dota_badguys_tower3_mid	0.0	0.0
12	5981286393	1563	building_kill	npc_dota_hero_life_stealer	npc_dota_badguys_melee_rax_mid	0.0	0.0
13	5981286393	1602	building_kill	dota_unknown	npc_dota_badguys_fort		
14	5981262647	77	CHAT_MESSAGE_COURIER_LOST				
15	5981262647	171	CHAT_MESSAGE_FIRSTBLOOD		9	1.0	1.0
16	5981262647	184	CHAT_MESSAGE_COURIER_LOST				
17	5981262647	185	CHAT_MESSAGE_COURIER_LOST				
18	5981262647	296	CHAT_MESSAGE_COURIER_LOST				
19	5981262647	399	CHAT_MESSAGE_COURIER_LOST				
20	5981262647	465	CHAT_MESSAGE_COURIER_LOST				
21	5981262647	635	building_kill	npc_dota_hero_broodmother	npc_dota_goodguys_tower1_bot	7.0	130.0
22	5981262647	667	building_kill	npc_dota_hero_slardar	npc_dota_badguys_tower1_mid	0.0	0.0
23	5981262647	772	building_kill	npc_dota_goodguys_siege	npc_dota_badguys_tower1_top		
24	5981262647	916	CHAT_MESSAGE_ROSHAN_KILL				
25	5981262647	917	CHAT_MESSAGE_AEGIS			4.0	4.0
26	5981262647	976	CHAT_MESSAGE_COURIER_LOST				
27	5981262647	1242	CHAT_MESSAGE_COURIER_LOST				
28	5981262647	1260	building_kill	npc_dota_creep_goodguys_melee	npc_dota_badguys_tower2_top		
29	5981262647	1366	building_kill	npc_dota_hero_slardar	npc_dota_badguys_tower2_mid	0.0	0.0
30	5981262647	1386	building_kill	npc_dota_hero_sand_king	npc_dota_badguys_tower3_mid	2.0	2.0
31	5981262647	1406	building_kill	npc_dota_hero_slardar	npc_dota_badguys_range_rax_mid	0.0	0.0
32	5981262647	1414	building_kill	npc_dota_hero_phantom_assassin	npc_dota_badguys_melee_rax_mid	4.0	4.0
33	5981262647	1417	building_kill	dota_unknown	npc_dota_badguys_fort		
34	5981259364	235	CHAT_MESSAGE_FIRSTBLOOD		9	0.0	0.0
35	5981259364	538	building_kill	npc_dota_hero_necrolyte	npc_dota_badguys_tower1_top	3.0	3.0
36	5981259364	660	building_kill	npc_dota_hero_skeleton_king	npc_dota_goodguys_tower1_bot	6.0	129.0
37	5981259364	929	building_kill	npc_dota_hero_sven	npc_dota_badguys_tower1_mid	2.0	2.0
38	5981259364	1060	building_kill	npc_dota_hero_sven	npc_dota_badguys_tower2_top	2.0	2.0
39	5981259364	1221	CHAT_MESSAGE_ROSHAN_KILL				
40	5981259364	1221	CHAT_MESSAGE_AEGIS			2.0	2.0
