	match_id	time	type	key	slot	player_slot
0	5981286393	-69	chatwheel	18001	5	128.0
1	5981286393	-67	chatwheel	18001	5	128.0
2	5981286393	-55	chatwheel	71	7	130.0
3	5981286393	-41	chatwheel	37001	6	129.0
4	5981286393	-40	chatwheel	7	8	131.0
5	5981286393	-40	chatwheel	104001	7	130.0
6	5981286393	-38	chatwheel	7	8	131.0
7	5981286393	-37	chatwheel	104001	7	130.0
8	5981286393	-37	chatwheel	18001	5	128.0
9	5981286393	-36	chatwheel	7	8	131.0
10	5981286393	-35	chatwheel	18001	5	128.0
11	5981286393	6	chatwheel	101001	8	131.0
12	5981286393	8	chatwheel	7	5	128.0
13	5981286393	8	chatwheel	104001	7	130.0
14	5981286393	8	chatwheel	7	5	128.0
15	5981286393	9	chatwheel	67	9	132.0
16	5981286393	10	chatwheel	18001	5	128.0
17	5981286393	11	chatwheel	18001	5	128.0
18	5981286393	13	chatwheel	323	2	2.0
19	5981286393	16	chatwheel	324	7	130.0
20	5981286393	19	chatwheel	324	7	130.0
21	5981286393	22	chatwheel	87	8	131.0
22	5981286393	26	chatwheel	323	2	2.0
23	5981286393	191	chatwheel	324	7	130.0
24	5981286393	192	chatwheel	324	8	131.0
25	5981286393	265	chatwheel	324	8	131.0
26	5981286393	275	chatwheel	63	9	132.0
27	5981286393	277	chatwheel	101001	8	131.0
28	5981286393	612	chatwheel	37002	6	129.0
29	5981286393	620	chatwheel	37004	6	129.0
30	5981286393	621	chatwheel	324	7	130.0
31	5981286393	623	chatwheel	324	7	130.0
32	5981286393	747	chatwheel	324	7	130.0
33	5981286393	748	chatwheel	324	7	130.0
34	5981286393	940	chatwheel	52004	1	1.0
35	5981286393	940	chatwheel	260	7	130.0
36	5981286393	941	chatwheel	324	7	130.0
37	5981286393	943	chatwheel	324	7	130.0
38	5981286393	945	chatwheel	324	8	131.0
39	5981286393	947	chatwheel	323	8	131.0
40	5981286393	1295	chatwheel	120002	3	3.0
41	5981286393	1481	chatwheel	52006	1	1.0
42	5981286393	1547	chatwheel	324	8	131.0
43	5981286393	1549	chatwheel	323	2	2.0
44	5981286393	1549	chatwheel	324	2	2.0
45	5981286393	1551	chatwheel	324	8	131.0
46	5981286393	1592	chat	gg	5	128.0
47	5981286393	1593	chat	GG	8	131.0
48	5981286393	1596	chat	GG	4	4.0
49	5981286393	1603	chatwheel	324	7	130.0
50	5981286393	1604	chatwheel	324	7	130.0
51	5981262647	-71	chat	glgl	3	3.0
52	5981262647	-69	chat	GL	6	129.0
53	5981262647	-69	chat	glgl	9	132.0
54	5981262647	-69	chatwheel	61001	7	130.0
55	5981262647	-69	chat	glhf	8	131.0
56	5981262647	-69	chat	gl po	5	128.0
57	5981262647	-69	chatwheel	71	1	1.0
58	5981262647	-69	chatwheel	71	1	1.0
59	5981262647	-69	chat	g	0	0.0
60	5981262647	-69	chat	G	6	129.0
61	5981262647	-69	chat	SRY	6	129.0
62	5981262647	-69	chat	G	2	2.0
63	5981262647	-66	chat	gl idol samH	2	2.0
64	5981262647	-63	chat	idol kita 	7	130.0
65	5981262647	-57	chatwheel	71	8	131.0
66	5981262647	-57	chatwheel	71	8	131.0
67	5981262647	-49	chatwheel	9004	3	3.0
68	5981262647	-48	chatwheel	9004	3	3.0
69	5981262647	-44	chatwheel	126003	6	129.0
70	5981262647	-41	chatwheel	54004	5	128.0
71	5981262647	-40	chatwheel	54003	5	128.0
72	5981262647	-40	chatwheel	324	6	129.0
73	5981262647	-40	chatwheel	61001	7	130.0
74	5981262647	21	chat	spike?	4	4.0
75	5981262647	21	chat	spike	0	0.0
76	5981262647	21	chat	waley	6	129.0
77	5981262647	21	chat	sec	0	0.0
78	5981262647	21	chat	sana ol	3	3.0
79	5981262647	21	chat	waley	3	3.0
80	5981262647	21	chat	restart net sorry	0	0.0
81	5981262647	21	chat	tyt	9	132.0
82	5981262647	21	chatwheel	61001	7	130.0
83	5981262647	21	chatwheel	61002	7	130.0
84	5981262647	21	chatwheel	71	5	128.0
85	5981262647	21	chatwheel	71	6	129.0
86	5981262647	21	chatwheel	71	6	129.0
87	5981262647	21	chatwheel	61001	7	130.0
88	5981262647	21	chatwheel	61002	7	130.0
89	5981262647	21	chatwheel	71	5	128.0
90	5981262647	21	chatwheel	71	5	128.0
91	5981262647	21	chatwheel	97003	1	1.0
92	5981262647	21	chatwheel	97003	1	1.0
93	5981262647	21	chatwheel	9004	3	3.0
94	5981262647	21	chatwheel	9004	3	3.0
95	5981262647	21	chatwheel	86006	8	131.0
96	5981262647	21	chatwheel	61001	7	130.0
97	5981262647	21	chat	Gwr	0	0.0
98	5981262647	21	chat	G	6	129.0
99	5981262647	173	chatwheel	323	3	3.0
100	5981262647	502	chat	FPS	6	129.0
101	5981262647	502	chatwheel	71	2	2.0
102	5981262647	502	chat	GWR	6	129.0
