	match_id	account_id	player_slot	hero_id	skill_upgrade_1	skill_upgrade_2	skill_upgrade_3	skill_upgrade_4	skill_upgrade_5	skill_upgrade_6	skill_upgrade_7	skill_upgrade_8	skill_upgrade_9	skill_upgrade_10	skill_upgrade_11	skill_upgrade_12	skill_upgrade_13	skill_upgrade_14	skill_upgrade_15	skill_upgrade_16	skill_upgrade_17	skill_upgrade_18	skill_upgrade_19	skill_upgrade_20	skill_upgrade_21	skill_upgrade_22	skill_upgrade_23	skill_upgrade_24	skill_upgrade_25
0	5981286393	137193239	0	54	5250	631.0	5250.0	631.0	5249.0	631.0	5252.0	5249.0	5249.0	5907.0	5249.0	5252.0	5250.0	5250.0	6423.0	631.0	5252.0	452.0							
1	5981286393	106863163	1	52	5243	5241.0	5243.0	5241.0	5243.0	5244.0	5242.0	5242.0	5242.0	5242.0	5243.0	5241.0	5241.0	509.0	5919.0	5244.0	5244.0								
2	5981286393	139937922	2	129	6495	6583.0	6582.0	6583.0	6583.0	6598.0	6583.0	6495.0	6495.0	5938.0	6495.0	6598.0	6582.0	6582.0	545.0	6582.0									
3	5981286393	101695162	3	120	6344	7307.0	6344.0	7307.0	6344.0	6343.0	6344.0	6461.0	6461.0	7132.0	6461.0	6343.0	6461.0	7307.0											
4	5981286393	108221389	4	103	5591	5589.0	5589.0	5591.0	5589.0	5594.0	5593.0	5589.0	5593.0	5593.0	5593.0	5594.0	5591.0	5591.0											
5	5981286393	148215639	128	18	5094	5095.0	5094.0	5095.0	5095.0	5097.0	5095.0	5096.0	5096.0	6119.0	5096.0	5097.0	5096.0	5094.0	6289.0	5094.0	5097.0								
6	5981286393	89423756	129	37	5162	5163.0	5163.0	5162.0	5163.0	5165.0	5164.0	5163.0	5162.0	5164.0	5164.0	5165.0													
7	5981286393	129958758	130	104	5595	5597.0	5597.0	5596.0	5597.0	5598.0	5595.0	5595.0	5595.0	6115.0	5596.0	5598.0	5596.0	5596.0	5906.0	5597.0									
8	5981286393	207829314	131	101	5582	5581.0	5582.0	5583.0	5582.0	5584.0	5582.0	5583.0	5583.0	5965.0	5583.0	5584.0	5581.0												
9	5981286393	373520478	132	17	5098	5100.0	5099.0	5098.0	5098.0	5101.0	5100.0	5100.0	5100.0	7873.0	5098.0	5101.0	5099.0	5099.0	6916.0	5099.0									
